region,station_name,Promotion Price,promo_statId,promo_chgerId,type,speed(kwh),address,location_detail,lati,longi,First_floor,is_fast,parking_free,only_taxi,,,,,,,,,,,
경남,우포늪생태관 주차장 제2주차장,253,HM810029,01,초급속,100,경상남도 창녕군 유어면 우포늪길 218,,35.5426912000,128.4171315000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,조산공영 주차장,280,HM810030,02,초급속,100,경상남도 창녕군 창녕읍 조산리 16,,35.5377830000,128.4852310000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,조산공영 주차장,280,HM810030,01,초급속,100,경상남도 창녕군 창녕읍 조산리 16,,35.5377830000,128.4852310000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,남지 시가지 공영주차장,280,HM810032,02,초급속,100,경상남도 창녕군 남지읍 남지리 605-13,,35.3893450000,128.4804920000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,남지 시가지 공영주차장,280,HM810032,01,초급속,100,경상남도 창녕군 남지읍 남지리 605-13,,35.3893450000,128.4804920000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,화왕산 자하곡 주차장,299,HM810033,02,초급속,100,경상남도 창녕군 창녕읍 자하곡길 10,,35.5400500000,128.5074120000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,화왕산 자하곡 주차장,299,HM810033,01,초급속,100,경상남도 창녕군 창녕읍 자하곡길 10,,35.5400500000,128.5074120000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,통영시청1청사,299,HM810035,02,초급속,100,경상남도 통영시 통영해안로 515,옥외주차장,34.8543423000,128.4331779000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,통영시청1청사,299,HM810035,01,초급속,100,경상남도 통영시 통영해안로 515,옥외주차장,34.8543423000,128.4331779000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,창녕군보건소,299,HM810036,02,초급속,100,경상남도 창녕군 창녕읍 우포2로 1189-35,옥외주차장,35.5438740000,128.4909450000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창녕군보건소,299,HM810036,01,초급속,100,경상남도 창녕군 창녕읍 우포2로 1189-35,옥외주차장,35.5438740000,128.4909450000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통영시청2청사,299,HM810037,02,초급속,100,경상남도 통영시 해미당1길 33,옥외주차장 입구 좌측,34.8543423000,128.4331779000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통영시청2청사,299,HM810037,01,초급속,100,경상남도 통영시 해미당1길 33,옥외주차장 입구 좌측,34.8543423000,128.4331779000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,대경아파트 앞 노상주차장,299,HM810040,02,초급속,100,경상남도 창녕군 남지읍 낙동로 533,,35.3902125200,128.4832965600,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,대경아파트 앞 노상주차장,299,HM810040,01,초급속,100,경상남도 창녕군 남지읍 낙동로 533,,35.3902125200,128.4832965600,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,해피데이,253,HM810041,04,초급속,100,경상남도 통영시 광도면 죽림4로 8,2층 주차장,34.8863143000,128.4160059000,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,해피데이,253,HM810041,03,초급속,100,경상남도 통영시 광도면 죽림4로 8,2층 주차장,34.8863143000,128.4160059000,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,해피데이,253,HM810041,02,초급속,100,경상남도 통영시 광도면 죽림4로 8,2층 주차장,34.8863143000,128.4160059000,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,해피데이,253,HM810041,01,초급속,100,경상남도 통영시 광도면 죽림4로 8,2층 주차장,34.8863143000,128.4160059000,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,양산국민체육센터,299,HM810044,02,초급속,100,경상남도 양산시 물금읍 청룡로 33,1층 주차장,35.3264310000,128.9939600000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,양산국민체육센터,299,HM810044,01,초급속,100,경상남도 양산시 물금읍 청룡로 33,1층 주차장,35.3264310000,128.9939600000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,양산역 공영주차장,280,HM810046,04,초급속,100,경상남도 양산시 강변로 441,주차장,35.3401407000,129.0274712000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,양산역 공영주차장,280,HM810046,03,초급속,100,경상남도 양산시 강변로 441,주차장,35.3401407000,129.0274712000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,양산역 공영주차장,280,HM810046,02,초급속,100,경상남도 양산시 강변로 441,주차장,35.3401407000,129.0274712000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,양산역 공영주차장,280,HM810046,01,초급속,100,경상남도 양산시 강변로 441,주차장,35.3401407000,129.0274712000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
